Date,Open,High,Low,Close,Adj Close,Volume
2017-04-04,15.350000,15.595000,15.100000,15.595000,15.255220,48469234
2017-04-05,15.710000,15.900000,15.540000,15.645000,15.304132,16120796
2017-04-06,15.500000,15.720000,15.315000,15.680000,15.338368,12053731
2017-04-07,15.530000,15.810000,15.385000,15.530000,15.191637,14724734
2017-04-10,15.555000,15.640000,15.395000,15.550000,15.211201,10854133
2017-04-11,15.505000,15.545000,15.180000,15.305000,14.971539,14240750
2017-04-12,15.400000,15.580000,15.170000,15.285000,14.951975,14880424
2017-04-13,15.255000,15.255000,15.035000,15.125000,14.795461,14396891
2017-04-18,15.145000,15.170000,14.695000,14.900000,14.575363,17591014
2017-04-19,14.925000,15.295000,14.910000,15.200000,14.868827,12391238
2017-04-20,15.050000,15.435000,15.000000,15.335000,15.000885,14412043
2017-04-21,15.425000,15.620000,15.275000,15.565000,15.225874,17842867
2017-04-24,16.250000,16.990000,16.250000,16.990000,16.619825,44328930
2017-04-25,17.030001,17.135000,16.795000,16.940001,16.570917,16819072
2017-04-26,17.025000,17.360001,16.959999,17.334999,16.957310,17464281
2017-04-27,16.825001,16.959999,16.555000,16.700001,16.336145,20925985
2017-04-28,16.590000,16.805000,16.424999,16.530001,16.169849,15518130
2017-05-02,16.695000,16.754999,16.570000,16.674999,16.311689,10861591
2017-05-03,16.680000,16.870001,16.565001,16.799999,16.433966,9924916
2017-05-04,16.995001,17.219999,16.844999,17.195000,16.820360,13034848
2017-05-05,17.080000,17.465000,16.950001,17.415001,17.035568,15467921
2017-05-08,17.600000,17.650000,17.184999,17.440001,17.060022,15047178
2017-05-09,17.440001,17.690001,17.334999,17.334999,16.957310,12960767
2017-05-10,17.370001,17.650000,17.059999,17.485001,17.104042,19087942
2017-05-11,17.500000,17.594999,17.155001,17.334999,16.957310,12631862
2017-05-12,17.285000,17.400000,17.075001,17.184999,16.810579,10549330
2017-05-15,17.379999,17.610001,17.290001,17.570000,17.187191,10717434
2017-05-16,17.385000,17.660000,17.350000,17.459999,17.079586,11089088
2017-05-17,17.330000,17.510000,16.764999,16.850000,16.482878,18393781
2017-05-18,16.910000,17.000000,16.420000,16.805000,16.438858,21027399
2017-05-19,16.830000,17.110001,16.629999,17.090000,16.908823,16120605
2017-05-22,17.184999,17.305000,16.920000,16.985001,16.804935,9033530
2017-05-23,16.930000,17.264999,16.905001,17.120001,16.938505,9064866
2017-05-24,17.125000,17.170000,16.820000,16.950001,16.770308,9328569
2017-05-25,16.980000,17.110001,16.674999,16.850000,16.671368,7423946
2017-05-26,16.760000,16.805000,16.375000,16.490000,16.315182,14144756
2017-05-29,16.510000,16.530001,16.320000,16.430000,16.255819,5104433
2017-05-30,16.305000,16.379999,16.055000,16.135000,15.963946,12553512
2017-05-31,16.105000,16.174999,15.575000,15.575000,15.409883,20710452
2017-06-01,15.600000,15.645000,15.330000,15.610000,15.444511,15160621
2017-06-02,15.800000,16.049999,15.515000,15.590000,15.424725,14946673
2017-06-05,15.590000,15.590000,15.590000,15.590000,15.424725,0
2017-06-06,15.495000,15.495000,15.300000,15.330000,15.167480,12042231
2017-06-07,15.300000,15.630000,15.225000,15.485000,15.320837,11052519
2017-06-08,15.500000,15.730000,15.320000,15.625000,15.459353,12403291
2017-06-09,15.650000,15.900000,15.530000,15.815000,15.647339,11583710
2017-06-12,15.800000,15.845000,15.460000,15.460000,15.296103,10643256
2017-06-13,15.570000,15.645000,15.490000,15.565000,15.399989,7489654
2017-06-14,15.630000,15.690000,15.235000,15.275000,15.113063,13744963
2017-06-15,15.400000,15.435000,15.040000,15.120000,14.959706,14660833
2017-06-16,15.180000,15.340000,14.875000,15.000000,14.840979,41494790
2017-06-19,15.120000,15.440000,15.090000,15.380000,15.216950,12425074
2017-06-20,15.490000,15.650000,15.215000,15.215000,15.053699,11922905
2017-06-21,15.160000,15.280000,14.930000,15.195000,15.033912,10349360
2017-06-22,15.155000,15.185000,14.865000,15.045000,14.885502,12531847
2017-06-23,15.035000,15.115000,14.875000,14.900000,14.742039,10036189
2017-06-26,14.975000,15.190000,14.960000,15.040000,14.880555,8979977
2017-06-27,15.040000,15.600000,14.975000,15.520000,15.355467,15687685
2017-06-28,15.505000,15.770000,15.375000,15.740000,15.573133,16015228
2017-06-29,15.965000,16.190001,15.790000,15.825000,15.657232,19379959
2017-06-30,15.880000,15.950000,15.525000,15.525000,15.360413,13265509
2017-07-03,15.650000,16.094999,15.620000,16.094999,15.924370,10625539
2017-07-04,15.925000,16.545000,15.830000,16.395000,16.221191,12913897
2017-07-05,16.355000,16.530001,16.065001,16.360001,16.186562,14995856
2017-07-06,16.490000,16.780001,16.389999,16.695000,16.518009,17019407
2017-07-07,16.695000,16.825001,16.450001,16.680000,16.503168,13329398
2017-07-10,16.799999,16.905001,16.514999,16.580000,16.404228,10051594
2017-07-11,16.655001,16.844999,16.535000,16.590000,16.414124,10055026
2017-07-12,16.610001,16.709999,16.330000,16.440001,16.265713,15586110
2017-07-13,16.475000,16.650000,16.434999,16.520000,16.344866,9890449
2017-07-14,16.555000,16.580000,16.209999,16.370001,16.196455,11459847
2017-07-17,16.469999,16.475000,16.264999,16.350000,16.176668,6392515
2017-07-18,16.340000,16.344999,15.860000,15.940000,15.771013,12956113
2017-07-19,16.010000,16.035000,15.815000,15.945000,15.775960,8578959
2017-07-20,15.990000,16.065001,15.785000,15.840000,15.672074,13515280
2017-07-21,15.795000,15.820000,15.520000,15.625000,15.459353,15479667
2017-07-24,15.620000,16.025000,15.510000,16.010000,15.840272,12372100
2017-07-25,16.049999,16.500000,16.020000,16.400000,16.226137,14306855
2017-07-26,16.315001,16.639999,16.309999,16.600000,16.424017,11373766
